robot,lin_vel_max,ang_vel_max,ideal_distance,ideal_distance_tolerance,num_collisions,avg_velocity,avg_distance_wall,correct_percentage_distance_wall,time_taken
robot1,1.8,3.141592653589793,1.7,0.5,0,1.53,1.87,83.42,43.89
robot2,1.8,3.141592653589793,1.7,0.5,0,2.19,1.82,82.14,33.47
robot1,1.8,3.141592653589793,1.8,0.2,0,1.12,2.03,22.65,60.95
robot2,1.8,3.141592653589793,1.8,0.2,0,1.57,1.98,18.15,46.62
robot1,1.8,3.141592653589793,1.8,0.3,0,1.19,2.02,33.92,57.62
robot2,1.8,3.141592653589793,1.8,0.3,0,1.51,2.01,33.53,43.75
robot1,1.8,3.141592653589793,1.8,0.4,0,1.45,1.94,71.78,49.69
robot2,1.8,3.141592653589793,1.8,0.4,0,1.69,1.91,65.88,38.65
robot1,1.8,3.141592653589793,1.8,0.5,0,1.48,1.91,78.30,45.95
robot2,1.8,3.141592653589793,1.8,0.5,0,1.84,1.93,85.59,35.79
robot1,2.0,1.0471975511965976,1.5,0.2,0,1.21,1.80,19.18,60.52
robot2,2.0,1.0471975511965976,1.5,0.2,0,1.53,2.07,14.69,45.96
robot1,2.0,1.0471975511965976,1.5,0.3,0,1.30,1.78,35.90,53.86
robot2,2.0,1.0471975511965976,1.5,0.3,0,1.71,2.06,27.54,41.02
robot1,2.0,1.0471975511965976,1.5,0.4,0,1.35,1.77,44.74,53.63
robot2,2.0,1.0471975511965976,1.5,0.4,0,1.73,2.10,38.26,40.36
robot1,2.0,1.0471975511965976,1.5,0.5,0,1.52,1.77,67.92,48.10
robot2,2.0,1.0471975511965976,1.5,0.5,0,1.84,2.15,53.77,37.58
robot1,2.0,1.0471975511965976,1.6,0.2,0,1.20,1.89,18.60,61.15
robot2,2.0,1.0471975511965976,1.6,0.2,0,1.59,2.11,16.76,46.44
robot1,2.0,1.0471975511965976,1.6,0.3,0,1.26,1.89,30.10,60.51
robot2,2.0,1.0471975511965976,1.6,0.3,0,1.49,2.26,15.00,47.10
robot1,2.0,1.0471975511965976,1.6,0.4,0,1.37,1.85,46.10,53.97
robot2,2.0,1.0471975511965976,1.6,0.4,0,1.72,2.15,36.24,40.81
robot1,2.0,1.0471975511965976,1.6,0.5,0,1.51,1.83,67.08,48.74
robot2,2.0,1.0471975511965976,1.6,0.5,0,1.95,2.14,65.38,38.33
robot1,2.0,1.0471975511965976,1.7,0.2,0,1.19,1.96,18.51,62.04
robot2,2.0,1.0471975511965976,1.7,0.2,0,1.51,2.22,16.95,47.16
robot1,2.0,1.0471975511965976,1.7,0.3,0,1.27,1.98,31.20,57.93
robot2,2.0,1.0471975511965976,1.7,0.3,0,1.58,2.22,27.95,45.20
robot1,2.0,1.0471975511965976,1.7,0.4,0,1.42,1.92,51.97,52.17
robot2,2.0,1.0471975511965976,1.7,0.4,0,1.72,2.23,40.40,41.31
robot1,2.0,1.0471975511965976,1.7,0.5,0,1.53,1.92,71.14,51.37
robot2,2.0,1.0471975511965976,1.7,0.5,0,1.71,2.36,36.90,40.88
robot1,2.0,1.0471975511965976,1.8,0.2,0,1.19,2.06,18.38,61.79
robot2,2.0,1.0471975511965976,1.8,0.2,0,1.50,2.30,15.25,48.12
robot1,2.0,1.0471975511965976,1.8,0.3,323,1.26,2.01,31.45,57.85
robot2,2.0,1.0471975511965976,1.8,0.3,0,1.67,2.27,30.36,44.87
robot1,2.0,1.0471975511965976,1.8,0.4,0,1.41,2.00,51.36,52.58
robot2,2.0,1.0471975511965976,1.8,0.4,0,1.92,2.30,41.94,39.08
robot1,2.0,1.0471975511965976,1.8,0.5,0,1.53,1.99,69.40,48.67
robot2,2.0,1.0471975511965976,1.8,0.5,0,1.88,2.32,59.48,37.69
robot1,2.0,2.0943951023931953,1.5,0.2,0,1.22,1.76,19.72,56.93
robot2,2.0,2.0943951023931953,1.5,0.2,0,1.59,1.84,21.56,42.26
robot1,2.0,2.0943951023931953,1.5,0.3,0,1.33,1.75,33.92,54.93
robot2,2.0,2.0943951023931953,1.5,0.3,0,1.59,1.85,26.24,42.41
robot1,2.0,2.0943951023931953,1.5,0.4,0,1.41,1.74,46.74,49.20
robot2,2.0,2.0943951023931953,1.5,0.4,0,1.82,1.82,55.73,36.63
robot1,2.0,2.0943951023931953,1.5,0.5,0,1.58,1.70,72.89,43.95
robot2,2.0,2.0943951023931953,1.5,0.5,0,1.98,1.80,71.17,33.60
robot1,2.0,2.0943951023931953,1.6,0.2,0,1.22,1.85,19.28,57.44
robot2,2.0,2.0943951023931953,1.6,0.2,0,1.56,1.93,18.13,43.50
