robot,kd,kp,avg_distance_wall,correct_percentage_distance_wall,time_taken
robot1,2.345,0.5499999999999999,2.44,51.06,44.48
robot2,2.345,0.5499999999999999,2.62,29.41,34.0
robot1,2.345,0.7749999999999999,2.08,65.42,40.02
robot2,2.345,0.7749999999999999,2.5,45.15,31.5
robot1,2.345,1.0,2.16,74.05,41.06
robot2,2.345,1.0,2.44,50.48,31.41
robot1,2.345,1.225,2.23,67.83,43.54
robot2,2.345,1.225,2.48,51.94,34.07
robot1,2.345,1.45,2.08,82.44,43.64
robot2,2.345,1.45,2.12,65.77,34.32
robot1,2.345,1.6749999999999998,2.21,84.15,42.41
robot2,2.345,1.6749999999999998,2.28,66.67,35.82
robot1,2.345,1.9,1.79,91.65,61.07
robot2,2.345,1.9,2.44,65.65,52.08
robot1,2.5700000000000003,0.1,,,
robot2,2.5700000000000003,0.1,,,
robot1,2.5700000000000003,0.3249999999999999,2.68,47.69,45.63
robot2,2.5700000000000003,0.3249999999999999,3.21,24.84,36.09
robot1,2.5700000000000003,0.5499999999999999,2.63,40.83,45.11
robot2,2.5700000000000003,0.5499999999999999,3.15,27.7,34.7
robot1,2.5700000000000003,0.7749999999999999,2.27,59.77,41.01
robot2,2.5700000000000003,0.7749999999999999,2.64,36.49,32.51
robot1,2.5700000000000003,1.0,2.28,62.54,42.41
robot2,2.5700000000000003,1.0,,,
robot1,2.5700000000000003,1.225,2.25,67.46,44.32
robot2,2.5700000000000003,1.225,2.45,55.56,34.17
robot1,2.5700000000000003,1.45,2.02,75.8,40.52
robot2,2.5700000000000003,1.45,2.41,54.29,30.91
robot1,2.5700000000000003,1.6749999999999998,1.84,82.0,44.89
robot2,2.5700000000000003,1.6749999999999998,2.31,66.53,38.96
robot1,2.5700000000000003,1.9,1.96,85.5,54.62
robot2,2.5700000000000003,1.9,,,
robot1,2.795,0.1,,,
robot2,2.795,0.1,3.97,18.52,39.18
robot1,2.795,0.3249999999999999,,,
robot2,2.795,0.3249999999999999,3.54,28.57,37.08
robot1,2.795,0.5499999999999999,2.41,48.05,40.14
robot2,2.795,0.5499999999999999,3.07,26.11,31.99
robot1,2.795,0.7749999999999999,2.14,64.76,40.09
robot2,2.795,0.7749999999999999,2.85,28.08,33.94
robot1,2.795,1.0,2.21,68.28,41.68
robot2,2.795,1.0,2.36,52.38,32.36
robot1,2.795,1.225,2.29,65.28,44.48
robot2,2.795,1.225,2.39,52.52,34.16
robot1,2.795,1.45,2.22,71.92,44.41
robot2,2.795,1.45,2.15,69.64,34.6
robot1,2.795,1.6749999999999998,2.34,67.65,59.12
robot2,2.795,1.6749999999999998,2.29,65.75,34.1
robot1,2.795,1.9,,,
robot2,2.795,1.9,,,
robot1,3.02,0.1,,,
robot2,3.02,0.1,3.54,19.82,36.72
robot1,3.02,0.3249999999999999,,,
robot2,3.02,0.3249999999999999,2.71,40.2,33.22
robot1,3.02,0.5499999999999999,2.44,48.04,44.59
robot2,3.02,0.5499999999999999,2.68,30.77,34.54
robot1,3.02,0.7749999999999999,2.24,61.89,40.35
robot2,3.02,0.7749999999999999,2.45,36.22,30.98
robot1,3.02,1.0,2.29,60.06,44.34
robot2,3.02,1.0,2.3,45.45,34.0
robot1,3.02,1.225,2.14,67.8,41.84
robot2,3.02,1.225,2.61,41.57,32.2
robot1,3.02,1.45,2.1,69.5,40.7
robot2,3.02,1.45,2.27,60.0,32.11
robot1,3.02,1.6749999999999998,2.27,75.3,45.49
robot2,3.02,1.6749999999999998,2.45,58.56,36.82
robot1,3.02,1.9,2.19,76.92,44.88
robot2,3.02,1.9,2.37,58.49,34.95
robot1,3.245,0.1,,,
robot2,3.245,0.1,,,
robot1,3.245,0.3249999999999999,3.07,40.37,49.31
robot2,3.245,0.3249999999999999,3.16,22.98,36.92
robot1,3.245,0.5499999999999999,2.65,42.34,43.27
robot2,3.245,0.5499999999999999,3.38,21.84,32.88
robot1,3.245,0.7749999999999999,2.52,46.45,44.63
robot2,3.245,0.7749999999999999,2.52,31.3,35.32
robot1,3.245,1.0,2.28,58.48,44.12
robot2,3.245,1.0,2.18,55.46,34.59
robot1,3.245,1.225,2.37,63.42,43.23
robot2,3.245,1.225,2.37,51.3,33.71
robot1,3.245,1.45,2.27,62.31,42.73
robot2,3.245,1.45,2.57,45.11,32.51
robot1,3.245,1.6749999999999998,2.19,68.71,41.2
robot2,3.245,1.6749999999999998,2.24,56.3,31.98
robot1,3.245,1.9,2.07,73.29,43.7
robot2,3.245,1.9,2.47,60.26,41.93
robot1,3.47,0.1,,,
robot2,3.47,0.1,,,
robot1,3.47,0.3249999999999999,,,
robot2,3.47,0.3249999999999999,2.96,23.74,34.3
robot1,3.47,0.5499999999999999,2.51,41.44,39.89
robot2,3.47,0.5499999999999999,3.03,31.7,33.37
robot1,3.47,0.7749999999999999,2.61,43.58,42.17
robot2,3.47,0.7749999999999999,2.69,52.38,32.77
robot1,3.47,1.0,2.32,59.5,44.06
robot2,3.47,1.0,2.09,58.04,33.93
robot1,3.47,1.225,2.42,62.08,44.38
robot2,3.47,1.225,2.56,49.12,33.81
robot1,3.47,1.45,2.11,75.0,40.7
robot2,3.47,1.45,2.56,47.83,31.85
robot1,3.47,1.6749999999999998,2.19,69.21,44.75
robot2,3.47,1.6749999999999998,2.32,57.14,35.44
robot1,3.47,1.9,2.28,73.18,46.34
robot2,3.47,1.9,2.47,52.66,34.58
robot1,3.695,0.1,,,
robot2,3.695,0.1,3.59,20.0,39.02
robot1,3.695,0.3249999999999999,2.7,42.69,42.42
robot2,3.695,0.3249999999999999,3.33,15.21,33.65
robot1,3.695,0.5499999999999999,2.87,37.13,43.95
robot2,3.695,0.5499999999999999,3.11,14.93,32.2
robot1,3.695,0.7749999999999999,2.68,44.21,43.56
robot2,3.695,0.7749999999999999,3.0,25.41,31.52
robot1,3.695,1.0,2.22,57.74,41.12
robot2,3.695,1.0,2.38,48.2,31.71
robot1,3.695,1.225,2.12,67.48,40.79
robot2,3.695,1.225,2.54,42.08,30.93
robot1,3.695,1.45,2.1,66.87,41.63
robot2,3.695,1.45,,,
robot1,3.695,1.6749999999999998,2.18,66.86,42.15
robot2,3.695,1.6749999999999998,2.37,59.17,37.96
robot1,3.695,1.9,2.4,67.34,42.56
robot2,3.695,1.9,2.48,56.32,32.88
robot1,3.92,0.1,,,
robot2,3.92,0.1,,,
robot1,3.92,0.3249999999999999,,,
robot2,3.92,0.3249999999999999,2.63,21.71,36.03
robot1,3.92,0.5499999999999999,2.84,39.39,45.19
robot2,3.92,0.5499999999999999,3.02,27.27,34.3
robot1,3.92,0.7749999999999999,2.46,45.82,40.96
robot2,3.92,0.7749999999999999,2.57,44.06,32.81
robot1,3.92,1.0,2.3,57.53,41.44
robot2,3.92,1.0,2.85,32.16,33.11
robot1,3.92,1.225,2.38,58.7,40.86
robot2,3.92,1.225,2.76,36.02,34.6
robot1,3.92,1.45,2.46,62.83,44.69
robot2,3.92,1.45,2.52,34.86,34.36
robot1,3.92,1.6749999999999998,2.26,65.14,41.35
robot2,3.92,1.6749999999999998,2.54,45.18,31.94
robot1,3.92,1.9,,,
robot2,3.92,1.9,,,
robot1,0.1,2.12,1.55,91.52,44.28
robot2,0.1,2.12,1.78,83.33,34.63
robot1,0.1,2.345,1.55,92.15,45.16
robot2,0.1,2.345,1.79,85.04,35.67
robot1,0.1,2.5700000000000003,1.53,91.69,47.87
robot2,0.1,2.5700000000000003,1.86,84.54,38.04
robot1,0.1,2.795,1.51,91.69,47.94
robot2,0.1,2.795,1.81,82.42,38.14
robot1,0.1,3.02,1.52,92.54,44.7
robot2,0.1,3.02,,,
robot1,0.1,3.245,1.5,89.45,44.18
robot2,0.1,3.245,,,
robot1,0.1,3.47,1.5,90.95,45.1
robot2,0.1,3.47,1.74,89.63,35.19
